"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.648464708E0,-1.376358989E0,4.057973510E0,1.352538865E1,1.418794035E1
1.658484708E0,-1.448835227E0,5.820296241E0,1.504629739E1,1.619771703E1
1.668503708E0,-8.323493940E-1,7.114466329E0,1.578624967E1,1.733534295E1
1.678522708E0,-1.062656454E0,8.501483769E0,1.588902501E1,1.805174730E1
1.688541708E0,-2.958434135E0,1.042906928E1,1.320787081E1,1.708700295E1
1.698561708E0,-4.787190299E0,1.203071052E1,9.954889326E0,1.633263629E1
1.708580708E0,-5.686036568E0,1.339947471E1,8.955846339E0,1.709046863E1
1.718599708E0,-6.020196172E0,1.379979848E1,1.043041297E1,1.831585965E1
1.728618708E0,-5.579792075E0,1.302968627E1,1.283929274E1,1.912470240E1
1.738638708E0,-4.060918168E0,1.181273451E1,1.393953758E1,1.871743735E1
1.748657708E0,-2.191522539E0,1.060127914E1,1.378754974E1,1.752958693E1
1.758676708E0,-9.567535117E-1,9.004854192E0,1.259951948E1,1.551614215E1
1.768695708E0,-5.296116308E-1,6.729844084E0,1.104488985E1,1.294453095E1
1.778715708E0,-6.665743983E-1,4.860516137E0,8.111492611E0,9.479728421E0
1.788734708E0,-5.532074118E-1,3.027211717E0,4.309783852E0,5.295685609E0
1.798753708E0,9.614693642E-2,1.004280338E0,1.290490435E0,1.638044198E0
1.808772708E0,8.222763956E-1,-8.072548985E-1,-1.313527295E0,1.747327358E0
1.818792708E0,1.439284531E0,-2.401297102E0,-2.995978814E0,4.100445926E0
1.828811708E0,1.871279894E0,-3.766064717E0,-3.411449214E0,5.415063955E0
1.838830708E0,2.161902445E0,-4.812195332E0,-3.154344218E0,6.146619684E0
1.848849708E0,2.326704318E0,-5.604954983E0,-3.188554523E0,6.855359457E0
1.858869708E0,2.436272953E0,-6.163384543E0,-3.683868653E0,7.582454957E0
1.868888708E0,2.320082639E0,-6.724160591E0,-4.199497764E0,8.260320851E0
1.878907708E0,2.294318637E0,-7.394175491E0,-4.467383856E0,8.938414161E0
1.888926708E0,2.356378791E0,-7.870048213E0,-5.356037843E0,9.807003684E0
1.898945708E0,2.210068738E0,-7.854815047E0,-6.118044063E0,1.019867572E1
1.908965708E0,2.140685385E0,-7.206515536E0,-7.194659722E0,1.040574498E1
1.918984708E0,2.140581889E0,-6.616584687E0,-7.999957557E0,1.060002852E1
1.929003708E0,2.300753644E0,-6.323145093E0,-8.232682003E0,1.063262358E1
1.939022708E0,2.511558048E0,-6.041219251E0,-8.173229268E0,1.046928510E1
1.949042708E0,2.510144483E0,-5.942753309E0,-7.934298588E0,1.022595894E1
1.959061708E0,2.377621872E0,-6.001841177E0,-7.548455445E0,9.932490266E0
