"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.147784167E-1,-6.258535114E-1,-1.894481499E0,-1.339723055E1,1.354498207E1
9.247014167E-1,-6.557677205E-1,-2.047010505E0,-1.385897932E1,1.402467794E1
9.346244168E-1,-3.952612897E-1,-2.198999520E0,-1.373922835E1,1.391970639E1
9.445484168E-1,-3.436858875E-1,-2.393410378E0,-1.325345453E1,1.347221549E1
9.544714167E-1,-3.128093728E-1,-2.626331582E0,-1.253329859E1,1.280933413E1
9.643944167E-1,-3.132948014E-1,-2.846668409E0,-1.174840344E1,1.209242152E1
9.743174167E-1,-4.410852609E-1,-3.119624621E0,-1.095700035E1,1.140098551E1
9.842404167E-1,-5.405322562E-1,-3.367870501E0,-1.002551667E1,1.058988722E1
9.941644167E-1,-5.788346616E-1,-3.513849748E0,-8.909430556E0,9.594797676E0
1.004087417E0,-4.612141912E-1,-3.510577646E0,-7.952097512E0,8.704753229E0
1.014010417E0,-4.609160197E-1,-3.502234839E0,-6.758267400E0,7.625763613E0
1.023933417E0,-2.385871014E-1,-3.294078347E0,-5.498175470E0,6.413876320E0
1.033856417E0,-8.332118765E-2,-3.059733053E0,-4.631885912E0,5.551871386E0
1.043780417E0,-4.690485648E-2,-2.778067120E0,-4.036511890E0,4.900335216E0
1.053703417E0,-1.923371422E-1,-2.364475285E0,-3.213442027E0,3.994239178E0
1.063626417E0,-3.150677503E-1,-1.813890349E0,-2.516194890E0,3.117804132E0
1.073549417E0,-3.704209654E-1,-1.534420777E0,-1.968526545E0,2.523243066E0
1.083472417E0,-1.884325543E-1,-1.333759831E0,-1.020432687E0,1.689883127E0
1.093396417E0,8.902183919E-2,-8.608893612E-1,3.413692206E-1,9.303699935E-1
1.103319417E0,4.071978688E-1,-3.631438132E-1,1.557943248E0,1.650718237E0
1.113242417E0,5.344157032E-1,-2.023230171E-1,2.720320019E0,2.779689866E0
1.123165417E0,4.528788391E-1,-5.904277168E-2,4.166306629E0,4.191264274E0
1.133088417E0,2.861677407E-1,4.541693196E-2,5.648075275E0,5.655502540E0
1.143012417E0,2.775519781E-2,-1.004651052E-1,7.181387712E0,7.182144043E0
1.152935417E0,-1.439762925E-1,-1.046305154E-1,8.769766302E0,8.771572135E0
1.162858417E0,7.186604451E-2,8.516323417E-3,9.821645315E0,9.821911929E0
1.172781417E0,2.535427807E-1,-2.957018816E-1,1.057597823E1,1.058314883E1
1.182704417E0,-1.378984316E-1,-7.093688540E-1,1.193489922E1,1.195675706E1
